00:00:06.066954 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.066963 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:06.067781 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.067795 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:06.069028 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.069044 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:07.771621 nspr-2   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:07.771646 nspr-2   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:09.040337 nspr-3   Saving settings file "/home/shg/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:09.050556 nspr-3   Finished saving settings file "/home/shg/.config/VirtualBox/VirtualBox.xml"
00:00:09.053305 nspr-3   Saving settings file "/home/shg/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:09.059095 nspr-3   Finished saving settings file "/home/shg/.config/VirtualBox/VirtualBox.xml"
00:00:09.063425 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:09.064875 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/IE8 - Win7/IE8 - Win7.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:09.064882 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
